understand	anlamak
introduce	takdim etmek, piyasaya sürmek
cooperate with	işbirliği yapmak
complain about	şikayet etmek
policy	politika
widely	yaygın olarak
mass	kitle
attention	dikkat
coastline	sahil şeridi
battle	savaşmak, meydan savaşı
legal	yasal
suffer from	_den acı çekmek
determine	belirlemek
insurance	sigorta
require	gerektirmek
loan	kredi, borç
refrain from	_den kaçınmak
urge	teşvik etmek
volunteer	gönüllü olmak
likely	muhtemel
imaginary	hayali
essential	önemli, gerekli
fiction	kurgu
intensify	yoğunlaştırmak
comparatively	nispeten
population	nüfus
monthly	aylık
expedition	keşif yolculuğu, sefer
acceptable	kabul edilebilir
responsibility	sorumluluk
successive	ardışık
deep	derin
polish	cilalamak, parlatmak
pleased with	_den memnun
apply for/to	uygulamak/başvurmak
expect	ummak
discuss	tartışmak
until	_e kadar
afraid of	korkmak
conversation	sohbet
totally	tamamen
retail	perakende
various	çeşitli
confront	karşı karşıya gelmek
agree with/on	aynı fikirde olmak
native	yerli
architecture	mimari
undermine	zayıflatmak, altını oymak
compete	rekabet etmek
reflect	yansıtmak
reluctant	isteksiz
civilization	medeniyet
ignore	gözardı etmek
progressively	aşamalı olarak
recognize	tanımak
prove	kanıtlamak
immensely	olağanüstü bir şekilde
deception	aldatma
suppose	varsaymak
spin	çevirmek, döndürmek, dönmek
depict	tasvir etmek, betimlemek
confirm	onaylamak
permanent	kalıcı
palace	saray
fashion	moda
presently	şu anda, kısa süre sonra
unprecedented	eşi benzeri görülmemiş
picture	resim
mere	sadece
related to/with	ile ilgili
manage	yönetmek, üstesinden gelmek (to)
recall	hatırlama
argue	tartışmak
alternate	sıra ile yapmak
rumour	söylenti
confidently	emin bir şekilde
exceptionally	istisnai, olağanüstü bir şekilde
settlement	yerleşme
repair	onarmak
stand	ayakta durmak
subject to	_e maruz kalmak, _e konu olmak
result in	ile sonuçlanmak
decade	onyıl
approach	yaklaşım, yaklaşmak
whenever	her ne zaman_sa
mastery	ustalık
level	seviye
examine	muayene etmek, incelemek
overlook	gözardı etmek, tepeden bakmak
add	eklemek
concept	kavram
tradition	gelenek
purpose	amaç
impossible	imkansız
sense	duyu, anlam, hissetmek, anlayış
course	ders, süreç, seyir, gidişat
infer	çıkarım
condition	şart
ritual	törensel
approval	onaylama
abstract	soyut, özet
trace	iz, izini sürmek (+back to)
initiate	başlatmak
favour	iyilik
wide	geniş
deal with	ile ilgilenmek
cover	örtü, örtmek
indirectly	dolaylı olarak
export	ihracat
tidal	gelgit
fundamental	temel
attract	çekmek, cezbetmek
declare	bildirmek, ilan etmek
presume	varsaymak, inanmak
similarly	benzer şekilde
union	birlik
demanding	yorucu, zahmetli
benefit	yarar, yararlanmak (from)
train	eğitmek, tren
enterprise	girişim
significance	önem
majority	çoğunluk
minister	bakan
separate	ayrı, ayırmak
greatly	büyük ölçüde
senior	kıdemli
assume	varsaymak
attitude	tutum
goods	mal, eşya
couple	çift
expenditure	harcama, gider
proud of	ile gurur duyan
court	mahkeme, saray maiyeti
melt	erimek, eritmek
divide into	bölmek
mining	madencilik
mind	zihin; umursamak
value	değer, değer vermek
vital	hayati, önemli
employment	istihdam, iş
towards	_e doğru
satisfactorily	tatmin edici bir şekilde
candidate	aday
ground	zemin
generation	nesil, kuşak
landscape	manzara
reflection	yansıma
adverse	olumsuz
output	çıktı
dramatically	çarpıcı bir şekilde
ability	yetenek
hostile	düşman
suspect	şüpheli
during	esnasında
degree	derece
overrate	abartmak,
lawbreaker	suçlu
publicise	tanıtmak
shape	şekil
order	sipariş, emretmek, düzen
competitive	rekabetçi
drawback	dezavantaj
before	_meden önce
literary	edebi
quite	oldukça
company	şirket
especially	özellikle
astounding	şaşırtıcı
view	görünüm, görmek
invention	icat
noticeably	belirgin bir şekilde
increase	artırmak
fortunately	neyse ki
accuse of	suçlamak
underdeveloped	az gelişmiş
perform	gerçekleştirmek
characteristic	özellik
particularly	özellikle
process	işlemden geçirmek
interpret	yorumlamak
basically	temelde
remove	ortadan kaldırmak
remember	hatırlamak
recruit	işe alma
ultimately	sonunda, nihayetinde
average	ortalama
conclusive	kesin
discourage from	cesaretini kırmak
interested in	ile ilgili
undergo	uğramak, maruz kalmak
wise	bilge,
drop	düşürmek
rightly	haklı olarak
rush	acele etmek
beach	plaj
costly	masraflı, pahalı
lovely	güzel
grow	büyümek
section	bölüm
controversy	tartışma
thaw	çözülmek, erimek
through	vasıtasıyla, yoluyla
prominence	öne çıkma, ün, şöhret
concerned with	ile ilgilenmek
crew	mürettebat
dispose of	kullanıp atmak
opposed to	_e karşı
indispensable	vazgeçilmez, çok önemli
gain	kazanç, kazanmak
disregard	gözardı etmek
destructive	yıkıcı
instruct	öğretmek, talimat vermek
percentage	yüzde
return	dönüş, dönmek
orderly	düzenli
possibly	muhtemelen
concentrate on	yoğunlaşmak
perhaps	belki de
define	tanımlamak
unfortunately	ne yazık ki, maalesef
prevail	hüküm sürmek
example	örnek
glimpse	kısa/anlık bakış
highly	büyük ölçüde
derive from	_den türetmek
deliver	teslim etmek
perfection	mükemmellik
intense	yoğun
consist of	_den oluşmak
whether _ or	_ıp_ımadığı, ister ... ister ...
outstanding	dikkat çekici, göze çarpan
monopoly	tekel
involuntary	istemsiz, gönülsüz
priority	öncelik
pressure	basınç
attach to	iliştirmek, eklemek
lecture	ders/konferans vermek
manuscript	el yazması
flood	sel
territory	bölge
excessively	aşırı derecede
alive	canlı
unify	birleştirmek
domestic	evcil, yurt içi
concrete	beton, somut
according to	e göre
development	kalkınma, gelişme
aim	amaç, amaçlamak
recent	yakın zamanda olan
aware of	farkında
ambitious	hırslı
immovable	taşınmaz, sabit
important	önemli
pull	çekmek
consider	düşünmek
include	dahil etmek, içermek
necessary	gerekli
different	farklı
capability	yetenek
immediately	hemen, derhal
violate	ihlal etmek
serious	ciddi
wonder	merak etmek
based on	e dayalı
though	_e rağmen
recommend	tavsiye etmek, önermek
along	boyunca
composer	besteci
corporate	şirket, şirketle ilgili
abound	bol miktarda olmak
light	ışık
disaster	felâket
apology	özür
extremely	son derece
buyer	alıcı
happen	olmak
severe	şiddetli, sert
overcome	üstesinden gelmek
wind	rüzgar
laughter	kahkaha
magnificent	muhteşem
human	insan
threshold	eşik
supply	arz etmek, kaynak, sağlamak
explain	açıklamak
vegetation	bitki örtüsü
sensible	mantıklı
properly	düzgün bir şekilde
heat	sıcaklık
found	kurmak
capital	başkent, ana para, baş
unlike	_ın aksine
wish	dilemek
complicated	karmaşık
origin	köken
effortless	zahmetsiz
gentle	nazik, kibar
appear	görünmek
complete	tamamlamak
argument	tartışma
race	yarış, ırk
skill	beceri
glacier	buzul
considerable	bir hayli, epeyce
communal	toplu
outdoor	dış mekan
tend to	eğilim göstermek
intelligence	zeka, istihbarat
personality	kişilik
upset	üzgün, morali bozuk
peak	zirve
earn	kazanmak
poet	şair
conquer	fethetmek
commerce	ticaret
competence	beceri, ustalık
differ	farklılaşmak
welfare	refah
although	e rağmen
restriction	kısıtlama
conduct	yönetmek, yürütmek, iletmek
generally	genel olarak
call	aramak, çağırmak
besides	_ın yanında, ayrıca, dahası
condemn	kınamak
inferior	aşağı, adi
presence	varlık, mevcut olma
mountainous	dağlık
variety	çeşitlilik
opposition	muhalefet
imply	ima etmek
field	alan
balance	denge
qualification	vasıf, nitelik
last	son; sürmek
similarity	benzerlik
bored with	canı sıkkın
evidence	kanıt
identical	tıpatıp aynı
choose	seçmek
exploration	keşif
interior	iç
sink	batmak (su), lavabo
ornament	süsleme
labour	emek
corroborate	doğrulamak, teyit etmek
freedom	özgürlük
trade	ticaret
beneficial	yararlı
inspire	ilham vermek
passionately	tutkuyla
refuse	reddetmek
account for	açıklamak, izah etmek
public	halka ait/ile ilgili
crime	suç
clearly	açık bir şekilde
literature	edebiyat
diminish	azaltmak
delicate	zarif
timber	kereste
appoint	atamak
treasure	hazine
peace	barış
figure	rakam, şekil, şahsiyet
collect	toplamak
contrast	tezat, karşıtlık
growth	büyüme
instance	örnek, durum
existence	varlık, varoluş
commemorate	anmak
qualified	nitelikli
refer to	atıfta bulunmak
constant	sabit, değişmeyen
prime	başlıca
situation	durum
contribute to	katkıda bulunmak
decent	uygun
accidentally	kazara
hope	umut etmek
fanciful	hayali
owing to	_den dolayı
deter from	caydırmak
advance	ilerlemek
certain	belli, bazı, kesin
violation	ihlal
illegal	yasadışı
crowded	kalabalık
immature	olgunlaşmamış
admire	beğenmek, hayran olmak
specialisation	uzmanlaşma
precisely	tam olarak
merge	birleştirmek
judge	hakim, yargılamak
globalisation	küreselleşme
obstruct	engellemek
solve	çözmek
mostly	çoğunlukla
prehistory	tarih öncesi
sure	emin
involve in	dahil etmek, içermek
soil	toprak
spread	yayılmak
carving	oyma
support	desteklemek
loyal	sadık
liveliness	canlılık
believe	inanmak
outward	dışarı doğru
justice	adalet
resort	tatil beldesi
decrease	azalmak
thus	böylece
weather	hava
lead to	sebep olmak
humanity	insanlık
superficially	yüzeysel olarak
vast	muazzam
alienate	yabancılaştırmak
above	üzerinde
establish	kurmak
hidden	gizli
measure	ölçmek; önlem
gradual	kademeli, aşamalı
strange	garip, tuhaf
citizen	vatandaş
settle	yerleşmek, çözmek
cope with	ile baş etmek
disprove	aksini ispat etmek, çürütmek
emerge	ortaya çıkmak
previously	önceden
unable to V1	_amaz (unable to see)
insufficient	yetersiz
unimportant	önemsiz
special	özel
content	içerik; memnun
mysterious	gizemli
intricate	karmaşık
vivid	canlı
prolific	üretken
renew	yenilemek
disturbing	rahatsız edici
blame for	suçlamak
wholly	tamamen
grip	kavrama
librarian	kütüphaneci
pioneer	öncü, öncülük etmek
common	ortak, yaygın
avoid	kaçınmak
lack of	_ın eksikliği
market	piyasa, pazarlamak
necessarily	illa ki, ille de, her zaman
affair	mesele
resemble	benzemek
prepared for	hazır (ready for)
term	dönem, koşul, şart
plant	bitki; fabrika; santral
hunting	avlanma
efficiency	verimlilik
influence	etki
range	menzil, aralık; değişmek (from/to)
push	itmek
certainly	kesinlikle
inhabit	yaşamak
since	_den beri, _dığı için, çünkü
sad	üzgün
needy	muhtaç
imagine	hayal etmek
sentence	cümle, hapis cezası
within	içinde
plot	arsa; plan; desise; olay örgüsü
attempt	girişmek, teşebbüs etmek
contact	temas
exhibit	sergilemek
underneath	altında
asset	değerli varlık
accept	kabul etmek
submit	teslim etmek
transform to/into	dönüştürmek
insight	içgörü
predict	öngörmek
reality	gerçeklik
jealous	kıskanç
firmly	sıkıca, sert bir şekilde
ancient	eski
merchant	tüccar
beyond	ötesinde
behave	davranmak
cause	sebep olmak, sebep
largely	büyük ölçüde
present	mevcut; sunmak; hediye
maritime	denizcilikle ilgili
strike	vurmak, grev
prior to	_den önce
main	ana
criticize	eleştirmek
affect	etkilemek
response	cevap, tepki
advertise	reklam vermek
phenomenon	olgu
obvious	açık, bariz
allow	izin vermek
respect	saygı duymak; yön, açı,
resident	mukim
amendment	değişiklik
excellent	mükemmel
curious about	meraklı
continue	devam etmek
introduction	giriş
explanation	açıklama
criminal	suçlu
article	makale, eşya
supremacy	üstünlük
lawyer	avukat
impress	etkilemek
unavoidable	kaçınılmaz
sudden	ani
novelist	romancı
pace	hız
major	ana, temeli başlıca
surround	etrafını çevrelemek
residence	konut
spoil	berbat etmek, bozmak
remain	kalmak, olmak
declaration	bildiri
misunderstand	yanlış anlamak
actually	aslında
via	yoluyla, kanalıyla
nevertheless	yine de
environmental	çevre ile ilgili
suggest	önermek
significant	önemli
rate	oran
guard	bekçi, korumak
worry about	endişelenmek
abide by	uymak, itaat etmek
impressive	etkileyici
philanthropy	hayırseverlik
indicator	gösterge
forget	unutmak
fight	kavga
equally	eşit olarak
enormous	muazzam, çok büyük
succession	ardıl
bitterly	feci bir şekilde
civilized	uygar
workshop	atölye, çalıştay
rise	yükselmek, artmak, doğmak
extreme	aşırı
fail	başarısız olmak
without	_sız, olmadan
revise	gözden geçirmek
estimate	tahmin etmek
regard as	olarak bakmak/görmek
reference	atıf
emphasize	vurgu yapmak
civil	vatandaşlıkla ilgili
because	_den dolayı, çünkü
among	arasında
appreciate	takdir etmek
deserve	hak etmek
punish for	cezalandırmak
trial	deneme, duruşma
application	uygulama
strain	gerginlik
worthy of	_e değer
educate	eğitmek
dominate	hakim olmak
relevant	ilgili
appropriate for	uygun
against	karşısında
poacher	kaçak avcı
satisfaction	memnuniyet
intensive	yoğun
vitality	canlılık
interview	röportaj
closely	yakından
survivor	hayatta kalan
annual	yıllık
statue	heykel
initiative	girişim, ön-ayak olma
expression	ifade
concerning	ile ilgili
traditional	geleneksel
infirm	sakat
independently	bağımsız bir şeiklde
run	koşmak, akmak, yönetmek
employ	istihdam etmek, kullanmak
compare	karşılaştırmak
hence	bu yüzden
across	karşısında
generously	cömertçe
attack	saldırmak
portion	oran
combination	birleşim
recently	son zamanlarda
component	bileşen
share	paylaştırmak, pay, hisse
prosecution	kovuşturma, dava açma
alone	yalnız
sculpture	heykel
claim	iddia etmek
critic	eleştirmen
movement	hareket
primarily	öncelikle, temelde, esasen
task	görev
entrance	giriş
strongly	güçlü bir şekilde
seem	görünmek
case	durum, vaka
stage	aşama, sahne
relationship	ilişki
force	kuvvet, zorlamal
therefore	bu yüzden
accessible	erişilebilir
connection	bağlantı
predominantly	ağırlıklı olarak
flee	kaçmak
thorough	titiz, kapsamlı, detaylı
barren	çorak
teamwork	takım çalışması
river	nehir
primitive	ilkel
great	harika, büyük
unemployment	işsizlik
emergency	acil durum
improve	geliştirmek
reveal	ortaya çıkarmak
care for/about	bakmak/umursamak
fame	şöhret
